"ens_gene"	"target_id"	"pval"	"qval"	"num_transcripts"	"all_target_ids"
"166"	"ENSG00000134461"	"ENST00000380094"	0.24784734963552	0.678685297060584	4	"ENST00000380094"
"167"	"ENSG00000134686"	"ENST00000373418"	0.343781359850857	0.750048469056641	12	"ENST00000373418"
"168"	"ENSG00000134871"	"ENST00000360467"	1.35059753462679e-07	6.50988011690113e-06	10	"ENST00000360467"
"169"	"ENSG00000135443"	"ENST00000257901"	0.231817354241891	0.645872628581454	3	"ENST00000257901"
"170"	"ENSG00000135916"	"ENST00000326427"	0.0523104834943115	0.335142932933247	10	"ENST00000326427"
"171"	"ENSG00000136026"	"ENST00000378026"	0.0672127692511129	0.385673271179005	3	"ENST00000378026"
"172"	"ENSG00000136213"	"ENST00000258711"	0.0542607256027212	0.339658048578073	4	"ENST00000258711"
"173"	"ENSG00000136238"	"ENST00000348035"	0.0451313516663813	0.319901639752879	6	"ENST00000348035"
"174"	"ENSG00000136240"	"ENST00000258739"	0.586927864608707	0.881306014770707	6	"ENST00000258739"
"175"	"ENSG00000136450"	"ENST00000582730"	0.225150903923826	0.644887647910558	9	"ENST00000582730"
"176"	"ENSG00000136542"	"ENST00000259056"	0.155085588570932	0.562343200038316	3	"ENST00000259056"
"177"	"ENSG00000136603"	"ENST00000458537"	0.903000774123785	0.993117095472403	8	"ENST00000458537"
"178"	"ENSG00000136802"	"ENST00000372599"	0.442138682393969	0.801825425489952	5	"ENST00000372599"
"179"	"ENSG00000136810"	"ENST00000374517"	0.0474087614970831	0.329865498380263	3	"ENST00000374517"
"180"	"ENSG00000136938"	"ENST00000339399"	0.0719422887221824	0.398576817978068	3	"ENST00000339399"
"181"	"ENSG00000138080"	"ENST00000380320"	0.452486829159264	0.801833278142519	2	"ENST00000380320"
"182"	"ENSG00000138095"	"ENST00000260665"	0.224407026599321	0.644887647910558	9	"ENST00000260665"
"183"	"ENSG00000138107"	"ENST00000369905"	0.989462167781289	0.997742185921718	6	"ENST00000369905"
"184"	"ENSG00000138434"	"ENST00000431877"	0.0127115328663541	0.142487414920528	15	"ENST00000431877"
"185"	"ENSG00000138604"	"ENST00000559420"	0.83881736974501	0.9885329394061	4	"ENST00000559420"
"186"	"ENSG00000139641"	"ENST00000394048"	0.218361024774077	0.644887647910558	10	"ENST00000394048"
"187"	"ENSG00000140992"	"ENST00000342085"	0.0911462540246744	0.44235118884888	17	"ENST00000342085"
"188"	"ENSG00000142192"	"ENST00000346798"	0.000218701149464371	0.00516182085814062	17	"ENST00000346798"
"189"	"ENSG00000143751"	"ENST00000272091"	0.728362675446498	0.941208604732472	1	"ENST00000272091"
"190"	"ENSG00000144036"	"ENST00000272427"	0.884583919570959	0.993117095472403	8	"ENST00000272427"
"191"	"ENSG00000145012"	"ENST00000617246"	0.272112712100535	0.708963930986259	21	"ENST00000617246"
"192"	"ENSG00000145555"	"ENST00000513610"	0.265397998338938	0.699026421854469	12	"ENST00000513610"
"193"	"ENSG00000145592"	"ENST00000504562"	0.155169389222191	0.562343200038316	6	"ENST00000504562"
"194"	"ENSG00000145623"	"ENST00000274276"	5.86230935604206e-05	0.00166213712330134	5	"ENST00000274276"
"195"	"ENSG00000145907"	"ENST00000356245"	0.531833028123287	0.859790338313112	14	"ENST00000356245"
"196"	"ENSG00000146242"	"ENST00000543496"	0.330974264966853	0.750048469056641	3	"ENST00000543496"
"197"	"ENSG00000146731"	"ENST00000275603"	0.404811765733025	0.78972013451792	9	"ENST00000275603"
"198"	"ENSG00000147100"	"ENST00000587091"	0.506975144406465	0.851435608376014	2	"ENST00000587091"
"199"	"ENSG00000147604"	"ENST00000396466"	0.123912533469949	0.514877940797547	8	"ENST00000396466"
"200"	"ENSG00000148516"	"ENST00000320985"	0.966372744766275	0.99550607877328	25	"ENST00000320985"
"201"	"ENSG00000148672"	"ENST00000277865"	0.996658602129557	0.999792416211907	4	"ENST00000277865"
"202"	"ENSG00000149084"	"ENST00000278353"	0.770622853708517	0.96686259468056	15	"ENST00000278353"
"203"	"ENSG00000149716"	"ENST00000538554"	0.0634877677626714	0.378854310859393	18	"ENST00000538554"
"204"	"ENSG00000149948"	"ENST00000403681"	7.06638253967693e-07	3.09636034920389e-05	11	"ENST00000403681"
"205"	"ENSG00000150477"	"ENST00000586501"	0.423228456904951	0.78972013451792	12	"ENST00000586501"
"206"	"ENSG00000151239"	"ENST00000552521"	0.748570037323207	0.949582471644133	11	"ENST00000552521"
"207"	"ENSG00000151461"	"ENST00000357604"	0.929889522480263	0.995480246967827	4	"ENST00000357604"
"208"	"ENSG00000152936"	"ENST00000543629"	0.0396499996189789	0.294019997174582	11	"ENST00000543629"
"209"	"ENSG00000152990"	"ENST00000282943"	0.672231125177191	0.915297746710187	13	"ENST00000282943"
"210"	"ENSG00000155115"	"ENST00000329970"	0.360550157707581	0.767375782581297	2	"ENST00000329970"
"211"	"ENSG00000155561"	"ENST00000285968"	0.215307994346798	0.644887647910558	10	"ENST00000285968"
"212"	"ENSG00000155760"	"ENST00000286201"	0.00292647991138395	0.0486401143892091	1	"ENST00000286201"
"213"	"ENSG00000156103"	"ENST00000286614"	0.0263966558504867	0.229479998253124	4	"ENST00000286614"
"214"	"ENSG00000156639"	"ENST00000373391"	0.948811372409488	0.99550607877328	7	"ENST00000373391"
"215"	"ENSG00000156671"	"ENST00000542569"	0.599817075441794	0.887248748265239	4	"ENST00000542569"
"216"	"ENSG00000156976"	"ENST00000440191"	0.719185933849484	0.934360162036256	27	"ENST00000440191"
"217"	"ENSG00000158062"	"ENST00000314675"	0.901147513266081	0.993117095472403	16	"ENST00000314675"
"218"	"ENSG00000158615"	"ENST00000367188"	0.504810659610721	0.850764817945341	1	"ENST00000367188"
"219"	"ENSG00000159202"	"ENST00000360943"	0.0792877343671909	0.419963604010835	8	"ENST00000360943"
"220"	"ENSG00000159251"	"ENST00000290378"	0.127988820820959	0.519748924744563	3	"ENST00000290378"
"221"	"ENSG00000159377"	"ENST00000290541"	0.960034833314729	0.99550607877328	7	"ENST00000290541"
"222"	"ENSG00000160551"	"ENST00000261716"	0.627161817735968	0.894359949176625	6	"ENST00000261716"
"223"	"ENSG00000160932"	"ENST00000522971"	0.131533077668014	0.528324528633188	15	"ENST00000522971"
"224"	"ENSG00000161011"	"ENST00000360718"	0.113063537404374	0.49096058584602	16	"ENST00000360718"
"225"	"ENSG00000161057"	"ENST00000292644"	0.45070484461436	0.801833278142519	5	"ENST00000292644"
"226"	"ENSG00000161970"	"ENST00000293842"	0.0701167778692493	0.39555789681494	13	"ENST00000293842"
"227"	"ENSG00000162378"	"ENST00000294353"	0.356918343283613	0.764598406500895	2	"ENST00000294353"
"228"	"ENSG00000162521"	"ENST00000373493"	0.657765566357138	0.911811748632956	19	"ENST00000373493"
"229"	"ENSG00000162545"	"ENST00000375078"	0.960822586010596	0.99550607877328	2	"ENST00000375078"
"230"	"ENSG00000162735"	"ENST00000472750"	0.136926017985214	0.534277019558633	12	"ENST00000472750"
"231"	"ENSG00000162783"	"ENST00000367577"	0.860429765443182	0.993117095472403	1	"ENST00000367577"
"232"	"ENSG00000163041"	"ENST00000366815"	0.102368234723988	0.471552424801439	4	"ENST00000366815"
"233"	"ENSG00000164032"	"ENST00000296417"	0.0169240701458053	0.166477587964861	6	"ENST00000296417"
"234"	"ENSG00000164171"	"ENST00000296585"	5.96845951423639e-10	5.75359497172388e-08	6	"ENST00000296585"
"235"	"ENSG00000164442"	"ENST00000537332"	0.0652383979280697	0.378854310859393	4	"ENST00000537332"
"236"	"ENSG00000164733"	"ENST00000353047"	0.0737672161099015	0.404043160965597	33	"ENST00000353047"
"237"	"ENSG00000164961"	"ENST00000517845"	0.348352703095825	0.75367135914979	8	"ENST00000517845"
